Date,Open,High,Low,Close
2018-11-07,7078.25,7214.75,7061.75,7210.75
2018-11-08,7180.25,7202.50,7132.00,7168.25
2018-11-09,7108.00,7116.25,6989.00,7045.50
2018-11-12,6997.25,7009.00,6825.75,6838.25
2018-11-13,6869.25,6962.00,6818.25,6838.75
2018-11-14,6887.75,6929.50,6746.00,6782.25
2018-11-15,6776.25,6920.50,6712.25,6903.50
2018-11-16,6844.50,6915.00,6807.50,6878.75
2018-11-19,6849.00,6854.75,6632.25,6653.00
2018-11-20,6522.25,6625.25,6449.50,6536.00
2018-11-21,6607.75,6647.75,6571.00,6583.25
2018-11-26,6628.75,6687.25,6596.25,6685.00
2018-11-27,6639.75,6723.00,6613.25,6707.00
2018-11-28,6754.50,6921.75,6716.50,6920.00
2018-11-29,6888.00,6943.75,6843.00,6898.50
2018-11-30,6912.00,6952.25,6872.50,6949.50
2018-12-03,7090.25,7107.75,7015.25,7065.50
2018-12-04,7037.25,7052.00,6788.00,6801.25
2018-12-06,6674.00,6843.75,6633.50,6843.75
2018-12-07,6812.00,6852.00,6594.75,6615.00
2018-12-10,6626.00,6714.50,6535.25,6685.00
2018-12-11,6797.25,6800.50,6651.25,6706.25
2018-12-12,6817.00,6872.00,6763.00,6766.50
2018-12-13,6808.75,6838.50,6723.00,6768.75
2018-12-14,6714.50,6738.25,6608.75,6618.25
2018-12-17,6590.25,6649.00,6423.25,6479.75
2018-12-18,6524.75,6577.50,6457.00,6513.75
2018-12-19,6516.25,6610.00,6301.25,6359.00
2018-12-20,6330.75,6404.50,6180.00,6262.50
2018-12-21,6318.25,6338.00,6030.00,6063.25
2018-12-26,5955.75,6278.50,5935.00,6277.75
2018-12-27,6187.00,6303.25,6053.25,6302.75
2018-12-28,6341.25,6402.50,6243.75,6297.00
2018-12-31,6348.25,6376.75,6283.00,6345.75
2019-01-02,6192.75,6409.25,6191.50,6372.50
2019-01-03,6269.00,6304.25,6148.50,6158.00
2019-01-04,6249.00,6462.00,6241.25,6436.75
2019-01-07,6420.00,6535.75,6419.25,6500.25
2019-01-08,6559.75,6586.25,6467.25,6563.75
2019-01-09,6588.75,6645.00,6560.25,6614.75
2019-01-10,6564.00,6638.75,6527.50,6631.50
2019-01-11,6598.50,6616.50,6572.00,6612.25
2019-01-14,6553.25,6579.25,6521.50,6552.00
2019-01-15,6571.00,6689.00,6568.75,6681.50
