lead_factor,lead_factors_days,lead_factor_dir,lead_factor_dir_days,k_means,k_means_dir,k_means_y,k_means_y_dir,low_corr,low_corr_dir,similar_dir
e8,139.0,g8,139.0,a2,a2,a2,b8,d3,p4,a2
h6,136.0,h10,136.0,b3,b3,b1,c8,p4,i2,b1
p10,218.0,i11,218.0,c2,b4,b2,d8,i2,f8,b2
m8,162.0,h7,162.0,c3,b5,b4,d10,f8,p5,b3
f3,91.0,c8,91.0,c6,b7,b5,e8,p5,l6,b4
e1,10.0,b3,10.0,d1,b8,b6,f8,i7,g9,b5
o4,187.0,i10,187.0,d2,b9,b7,f10,l6,n7,b6
m4,222.0,c10,222.0,d6,b10,b8,g8,n7,b10,b7
p1,200.0,i2,200.0,e1,c6,b9,h8,l8,j3,b8
m7,8.0,n4,8.0,e3,e7,b10,i8,b10,e7,b9
,,,,e6,,b11,i9,j3,h11,
,,,,f3,,c1,i10,f1,o1,
,,,,g1,,c4,j8,b9,n4,
,,,,g6,,c5,j10,h11,a1,
,,,,h1,,c7,k8,o1,n2,
,,,,h3,,c8,l8,c5,b8,
,,,,h6,,c9,l10,k10,p9,
,,,,i6,,c10,m8,n4,p3,
,,,,i11,,c11,m9,a2,n3,
,,,,j3,,d3,m10,a1,p6,
,,,,j4,,d4,n8,m1,k11,
,,,,j6,,d5,o8,l2,e6,
,,,,k1,,d7,o10,n8,l11,
,,,,k6,,d8,o11,n2,h2,
,,,,l3,,d9,p8,b8,j4,
,,,,m3,,d10,y,i3,d7,
,,,,m6,,d11,,n3,g4,
,,,,n3,,e2,,p6,b6,
,,,,p1,,e4,,k11,f9,
,,,,p6,,e5,,e6,f6,
,,,,,,e7,,i10,g5,
,,,,,,e8,,l11,m4,
,,,,,,e9,,h2,b4,
,,,,,,e10,,n9,e1,
,,,,,,e11,,h8,p7,
,,,,,,f1,,p8,o9,
,,,,,,f2,,j4,k9,
,,,,,,f4,,c3,o10,
,,,,,,f5,,n10,c1,
,,,,,,f6,,b6,d9,
,,,,,,f7,,f9,i6,
,,,,,,f8,,i8,m11,
,,,,,,f9,,j8,n6,
,,,,,,f10,,i1,g1,
,,,,,,f11,,g5,j11,
,,,,,,g2,,m4,b1,
,,,,,,g3,,b4,k2,
,,,,,,g4,,c9,g11,
,,,,,,g5,,e1,k7,
,,,,,,g7,,i4,m6,
,,,,,,g8,,p7,j6,
,,,,,,g9,,o9,l4,
,,,,,,g10,,o10,e11,
,,,,,,g11,,k9,g3,
,,,,,,h2,,h7,b3,
,,,,,,h4,,d9,n11,
,,,,,,h5,,i6,g10,
,,,,,,h7,,c7,c11,
,,,,,,h8,,m11,d1,
,,,,,,h9,,n6,n1,
,,,,,,h10,,o3,l10,
,,,,,,h11,,k1,h9,
,,,,,,i1,,c2,m8,
,,,,,,i2,,g1,j2,
,,,,,,i3,,h10,m2,
,,,,,,i4,,j11,h1,
,,,,,,i5,,b1,k6,
,,,,,,i7,,k2,b2,
,,,,,,i8,,g11,b5,
,,,,,,i9,,k7,j7,
,,,,,,i10,,l4,j1,
,,,,,,j1,,j6,k3,
,,,,,,j2,,e11,e2,
,,,,,,j5,,g3,i5,
,,,,,,j7,,b3,l7,
,,,,,,j8,,c8,d6,
,,,,,,j9,,b11,k4,
,,,,,,j10,,h3,d10,
,,,,,,j11,,p10,m3,
,,,,,,k2,,f11,c10,
,,,,,,k3,,n11,c4,
,,,,,,k4,,g10,l3,
,,,,,,k5,,c11,p1,
,,,,,,k7,,f10,f2,
,,,,,,k8,,j10,e10,
,,,,,,k9,,g6,g2,
,,,,,,k10,,d1,p11,
,,,,,,k11,,d4,d11,
,,,,,,l1,,k8,f3,
,,,,,,l2,,c6,i9,
,,,,,,l4,,n1,o2,
,,,,,,l5,,l10,,
,,,,,,l6,,l5,,
,,,,,,l7,,d8,,
,,,,,,l8,,e8,,
,,,,,,l9,,h9,,
,,,,,,l10,,m5,,
,,,,,,l11,,m8,,
,,,,,,m1,,h4,,
,,,,,,m2,,d5,,
,,,,,,m4,,b7,,
,,,,,,m5,,j2,,
,,,,,,m7,,d2,,
,,,,,,m8,,o4,,
,,,,,,m9,,m2,,
,,,,,,m10,,h1,,
,,,,,,m11,,k6,,
,,,,,,n1,,b2,,
,,,,,,n2,,p2,,
,,,,,,n4,,b5,,
,,,,,,n5,,j7,,
,,,,,,n6,,j1,,
,,,,,,n7,,k3,,
,,,,,,n8,,e2,,
,,,,,,n9,,i5,,
,,,,,,n10,,m9,,
,,,,,,n11,,e4,,
,,,,,,o1,,l7,,
,,,,,,o2,,o11,,
,,,,,,o3,,o6,,
,,,,,,o4,,d6,,
,,,,,,o5,,o5,,
,,,,,,o6,,k4,,
,,,,,,o7,,d10,,
,,,,,,o8,,c10,,
,,,,,,o9,,m3,,
,,,,,,o10,,c4,,
,,,,,,o11,,l9,,
,,,,,,p2,,f7,,
,,,,,,p3,,l3,,
,,,,,,p4,,j9,,
,,,,,,p5,,i11,,
,,,,,,p7,,h6,,
,,,,,,p8,,p1,,
,,,,,,p9,,f2,,
,,,,,,p10,,e3,,
,,,,,,p11,,e10,,
,,,,,,y,,g2,,
,,,,,,,,p11,,
,,,,,,,,g8,,
,,,,,,,,d11,,
,,,,,,,,m10,,
,,,,,,,,f3,,
,,,,,,,,i9,,
,,,,,,,,h5,,
,,,,,,,,f4,,
,,,,,,,,o2,,
